participant_id,puzzle_id,window_start,expert_state,expert_action,expert_rule,attention_label,attention_confidence,action_label,action_confidence,performance_label,performance_confidence,population_label,population_confidence,disagreement_type,dominant_tension,disagreement_intensity,suggested_support,support_category,support_rationale,io_category,expert_category
1,Transition,0.1016993,SOLVING,NONE,RULE_8_EXPLORE_EXIT,searching,0.825,hesitant,0.65,progressing,0.633,exploring,0.396,contradictory,scattered_but_progressing,0.729,wait,watch,Attention looks scattered but player IS progressing. Don't interrupt what's working.,watch,watch
1,Transition,5.010511,SOLVING,NONE,RULE_10_DEFAULT,searching,0.936,inactive,0.564,stalled,0.7,exploring,0.511,contradictory,scanning_but_passive,0.75,monitor_closely,probe,"Attention says searching, Action says inactive — transient. May resolve on its own.",probe,watch
1,Transition,10.0059112,SOLVING,NONE,RULE_10_DEFAULT,searching,0.95,inactive,0.577,stalled,0.7,exploring,0.536,contradictory,scanning_but_passive,0.763,monitor_closely,probe,"Attention says searching, Action says inactive — transient. May resolve on its own.",probe,watch
1,Transition,15.0011804,SOLVING,NONE,RULE_10_DEFAULT,searching,0.727,hesitant,0.337,progressing,0.9,exploring,0.299,contradictory,scattered_but_progressing,0.814,wait,watch,Attention looks scattered but player IS progressing. Don't interrupt what's working.,watch,watch
1,Transition,20.0129621,SOLVING,NONE,RULE_10_DEFAULT,searching,0.95,hesitant,0.65,progressing,0.767,exploring,0.713,contradictory,scattered_but_progressing,0.859,wait,watch,Attention looks scattered but player IS progressing. Don't interrupt what's working.,watch,watch
1,Transition,25.0121404,EXPLORE,PROMPT,RULE_3_NO_ENTRY,searching,0.945,hesitant,0.65,progressing,0.633,exploring,0.587,contradictory,scattered_but_progressing,0.789,wait,watch,Attention looks scattered but player IS progressing. Don't interrupt what's working.,watch,intervene
1,Transition,30.0052047,EXPLORE,NONE,RULE_3_NO_ENTRY,searching,0.95,hesitant,0.65,stalled,0.7,exploring,0.665,constructive,pop_confirms_exploration,0.193,monitor,watch,No clear signal from agent negotiation.,watch,watch
1,Transition,35.0032547,EXPLORE,NONE,RULE_3_NO_ENTRY,searching,0.95,inactive,0.49,stalled,0.7,exploring,0.497,contradictory,scanning_but_passive,0.72,monitor_closely,probe,"Attention says searching, Action says inactive — transient. May resolve on its own.",probe,watch
1,Transition,40.0012136,EXPLORE,NONE,RULE_3_NO_ENTRY,searching,0.95,hesitant,0.85,progressing,0.633,exploring,0.549,contradictory,scattered_but_progressing,0.791,wait,watch,Attention looks scattered but player IS progressing. Don't interrupt what's working.,watch,watch
1,Transition,45.0003627,EXPLORE,NONE,RULE_3_NO_ENTRY,searching,0.874,active,0.489,progressing,0.9,exploring,0.45,contradictory,scattered_but_progressing,0.887,wait,watch,Attention looks scattered but player IS progressing. Don't interrupt what's working.,watch,watch
